Artist,minRank,Sdanceability_random,Dtfirstbestrank,Hpaudiosample,Hpch,Hpcover,Hpentry,Hpvideo,Hptitle,Svalence,Hpsong_Id
Klingande,1,0.7070,10.11.2013,http://streamd.hitparade.ch/audio/1130000/1134809.mp3,,http://streamd.hitparade.ch/cdimages/klingande-jubel_s.jpg,29.09.2013,http://youtu.be/b6vSf0cA9qY,Jubel,0.18,1134809
Kliby,2,-0.2750,11.02.1978,http://streamd.hitparade.ch/audio/0000000/0000490.mp3,ch,http://streamd.hitparade.ch/cdimages/kliby-kliby_und_seine_caroline_s.jpg,04.02.1978,,Kliby und seine Caroline,-0.26,0000490
Klangkarussell,3,0.6460,13.01.2013,http://streamd.hitparade.ch/audio/1050000/1055937.mp3,,http://streamd.hitparade.ch/cdimages/klangkarussell-sonnentanz_s.jpg,26.08.2012,http://youtu.be/aiumJ_nDkhs,Sonnentanz,0.16,1055937
Kiz,3,0.6710,08.05.1983,http://streamd.hitparade.ch/audio/0000000/0000941.mp3,,http://streamd.hitparade.ch/cdimages/kiz-die_sennerin_vom_koenigsee_s.jpg,24.04.1983,,Die Sennerin vom Königsee,0.69,0000941
KISS,2,0.7680,07.10.1979,http://streamd.hitparade.ch/audio/0000000/0000593.mp3,,http://streamd.hitparade.ch/cdimages/kiss-i_was_made_for_lovin_you_s.jpg,19.08.1979,http://youtu.be/u7isxoTIeYM,I Was Made For Lovin' You,0.86,0000593
KISS,4,0.5500,31.05.1992,http://streamd.hitparade.ch/audio/0000000/0002435.mp3,,http://streamd.hitparade.ch/cdimages/kiss-god_gave_rock_roll_to_you_ii_s.jpg,26.04.1992,,God Gave Rock & Roll To You II,0.27,0002435
King,3,0.7550,31.03.1985,http://streamd.hitparade.ch/audio/0000000/0001232.mp3,,http://streamd.hitparade.ch/cdimages/king-love_pride_s.jpg,17.03.1985,http://youtu.be/W5Zigp9K2ME,Love & Pride,0.77,0001232
Kim Wilde,2,0.6940,25.01.1987,http://streamd.hitparade.ch/audio/0000000/0001548.mp3,,http://streamd.hitparade.ch/cdimages/kim_wilde-you_keep_me_hangin_on_s.jpg,04.01.1987,http://youtu.be/xJZF-skCY-M,You Keep Me Hangin' On,0.68,0001548
Kim Wilde,3,0.6830,18.09.1988,http://streamd.hitparade.ch/audio/0000000/0001830.mp3,,http://streamd.hitparade.ch/cdimages/kim_wilde-you_came_s.jpg,21.08.1988,http://youtu.be/P6Agwu_5J14,You Came,0.62,0001830
Kim Wilde,2,0.5930,09.05.1982,http://streamd.hitparade.ch/audio/0000000/0000835.mp3,,http://streamd.hitparade.ch/cdimages/kim_wilde-view_from_a_bridge_s.jpg,25.04.1982,http://youtu.be/aR_5Udjyyb0,View From A Bridge,0.82,0000835
Kim Wilde,4,0.6170,27.11.1988,http://streamd.hitparade.ch/audio/0000000/0001869.mp3,,http://streamd.hitparade.ch/cdimages/kim_wilde-never_trust_a_stranger_s.jpg,06.11.1988,http://youtu.be/jWfXb_9iQZM,Never Trust A Stranger,0.77,0001869
Kim Wilde,5,0.5660,05.07.1981,http://streamd.hitparade.ch/audio/0000000/0000737.mp3,,http://streamd.hitparade.ch/cdimages/kim_wilde-kids_in_america_s.jpg,24.05.1981,,Kids In America,0.33,0000737
Kim Wilde,2,0.5570,26.07.1981,http://streamd.hitparade.ch/audio/0000000/0000749.mp3,,http://streamd.hitparade.ch/cdimages/kim_wilde-chequered_love_s.jpg,12.07.1981,,Chequered Love,0.81,0000749
