Artist,minRank,Sdanceability_random,Dtfirstbestrank,Hpaudiosample,Hpch,Hpcover,Hpentry,Hpvideo,Hptitle,Svalence,Hpsong_Id
Tiziano Ferro,32,0.5850,01.02.2004,http://streamd.hitparade.ch/audio/0000000/0005944.mp3,,http://streamd.hitparade.ch/cdimages/tiziano_ferro-sere_nere_s.jpg,18.01.2004,http://youtu.be/Ga9sIlmVh50,Sere nere,0.42,0005944
Tiziano Ferro,57,0.5610,26.10.2014,http://streamd.hitparade.ch/audio/1340000/1348041.mp3,,http://streamd.hitparade.ch/cdimages/tiziano_ferro-senza_scappare_mai_piu_s.jpg,26.10.2014,http://youtu.be/fMLVIRFo6Ow,Senza scappare mai più,0.50,1348041
Tiziano Ferro,36,0.7920,15.09.2002,http://streamd.hitparade.ch/audio/0000000/0005247.mp3,,http://streamd.hitparade.ch/cdimages/tiziano_ferro-rosso_relativo_s.jpg,21.07.2002,http://youtu.be/yMnDNgtQLKw,Rosso relativo,0.90,0005247
Tiziano Ferro,72,0.5260,06.11.2016,http://streamd.hitparade.ch/audio/1600000/1606668.mp3,,http://streamd.hitparade.ch/cdimages/tiziano_ferro-potremmo_ritornare_s.jpg,06.11.2016,http://youtu.be/GgPsYOB0EHU,Potremmo ritornare,0.43,1606668
Tiziano Ferro,51,0.5280,18.12.2011,http://streamd.hitparade.ch/audio/0910000/0913454.mp3,,http://streamd.hitparade.ch/cdimages/tiziano_ferro-la_differenza_tra_me_e_te_s.jpg,06.11.2011,http://youtu.be/_KN_nyGehek,La differenza tra me e te,0.29,0913454
Tiziano Ferro,49,0.7340,17.02.2002,http://streamd.hitparade.ch/audio/0000000/0005039.mp3,,http://streamd.hitparade.ch/cdimages/tiziano_ferro-lolimpiade_s.jpg,10.02.2002,,L'olimpiade,0.85,0005039
Tiziano Ferro,29,0.6450,02.06.2002,http://streamd.hitparade.ch/audio/0000000/0005154.mp3,,http://streamd.hitparade.ch/cdimages/tiziano_ferro-imbranato_s.jpg,12.05.2002,http://youtu.be/GGkbuptJo2I,Imbranato,0.53,0005154
Tiziano Ferro,72,0.6270,10.12.2006,http://streamd.hitparade.ch/audio/0210000/0214185.mp3,,http://streamd.hitparade.ch/cdimages/tiziano_ferro-ed_ero_contentissimo_s.jpg,03.12.2006,,Ed ero contentissimo,0.26,0214185
Tiziano Ferro,33,0.5340,23.11.2008,http://streamd.hitparade.ch/audio/0520000/0521069.mp3,,http://streamd.hitparade.ch/cdimages/tiziano_ferro-alla_mia_eta_s.jpg,23.11.2008,http://youtu.be/khLcbEwjN_0,Alla mia età,0.35,0521069
Titou Le Lapinou,77,0.7410,01.10.2006,http://streamd.hitparade.ch/audio/0230000/0235821.mp3,,http://streamd.hitparade.ch/cdimages/titou_le_lapinou-le_titou_s.jpg,20.08.2006,,Le Titou,0.98,0235821
